Shop Name,Link
ইট ভ্যালি,https://www.google.com/maps/place/%E0%A6%87%E0%A6%9F+%E0%A6%AD%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%BF/data=!4m7!3m6!1s0x3755c7b98a194e9b:0xef17bf5d373504a5!8m2!3d23.7898293!4d90.3757411!16s%2Fg%2F11pv4vvfyw!19sChIJm04ZirnHVTcRpQQ1N12_F-8?authuser=0&hl=bn&rclk=1
21 টেকনোলজি,https://www.google.com/maps/place/21+%E0%A6%9F%E0%A7%87%E0%A6%95%E0%A6%A8%E0%A7%8B%E0%A6%B2%E0%A6%9C%E0%A6%BF/data=!4m7!3m6!1s0x3755c7bc6bb0c7f5:0x818a61a6f3cf1ddd!8m2!3d23.8062797!4d90.3690347!16s%2Fg%2F11h39ymk0b!19sChIJ9cewa7zHVTcR3R3P86ZhioE?authuser=0&hl=bn&rclk=1
ইট বিডি শপ,https://www.google.com/maps/place/%E0%A6%87%E0%A6%9F+%E0%A6%AC%E0%A6%BF%E0%A6%A1%E0%A6%BF+%E0%A6%B6%E0%A6%AA/data=!4m7!3m6!1s0x3755c1d4eefc6ac1:0x8bbea2b6bd8edee1!8m2!3d23.8061817!4d90.3681095!16s%2Fg%2F11qrt7877p!19sChIJwWr87tTBVTcR4d6Ovbaivos?authuser=0&hl=bn&rclk=1
আর কম্পিউটার্স,https://www.google.com/maps/place/%E0%A6%86%E0%A6%B0+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/data=!4m7!3m6!1s0x3755c0d692b2204f:0xb1dd0520e761f525!8m2!3d23.8066118!4d90.369202!16s%2Fg%2F11cjj55mwz!19sChIJTyCyktbAVTcRJfVh5yAF3bE?authuser=0&hl=bn&rclk=1
Maraya Global (Mirpur Branch),https://www.google.com/maps/place/Maraya+Global+%28Mirpur+Branch%29/data=!4m7!3m6!1s0x3755c1005f76a8a5:0x464d32e20e49166e!8m2!3d23.8061328!4d90.3698309!16s%2Fg%2F11wj6xgh_x!19sChIJpah2XwDBVTcRbhZJDuIyTUY?authuser=0&hl=bn&rclk=1
ইচ্ছেঘর অনলাইন শপ,https://www.google.com/maps/place/%E0%A6%87%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87%E0%A6%98%E0%A6%B0+%E0%A6%85%E0%A6%A8%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%A8+%E0%A6%B6%E0%A6%AA/data=!4m7!3m6!1s0x3755c147fe2569fb:0x58592d1bb15902eb!8m2!3d23.8132232!4d90.373627!16s%2Fg%2F11s91mxsf2!19sChIJ-2kl_kfBVTcR6wJZsRstWVg?authuser=0&hl=bn&rclk=1
গ্রিন টেকনোলজি,https://www.google.com/maps/place/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%A8+%E0%A6%9F%E0%A7%87%E0%A6%95%E0%A6%A8%E0%A7%8B%E0%A6%B2%E0%A6%9C%E0%A6%BF/data=!4m7!3m6!1s0x3755c19d7d8acd05:0x2dc0062b6175cefe!8m2!3d23.7991441!4d90.3528902!16s%2Fg%2F11gjx12f8n!19sChIJBc2KfZ3BVTcR_s51YSsGwC0?authuser=0&hl=bn&rclk=1
ইজি & এফিশিয়েন্ট সলিউশন,https://www.google.com/maps/place/%E0%A6%87%E0%A6%9C%E0%A6%BF+%26+%E0%A6%8F%E0%A6%AB%E0%A6%BF%E0%A6%B6%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F+%E0%A6%B8%E0%A6%B2%E0%A6%BF%E0%A6%89%E0%A6%B6%E0%A6%A8/data=!4m7!3m6!1s0x3755c1ef64b7c295:0x76d63d5283bc970f!8m2!3d23.7925541!4d90.3703842!16s%2Fg%2F11lgdnksd0!19sChIJlcK3ZO_BVTcRD5e8g1I91nY?authuser=0&hl=bn&rclk=1
TSP | Total Solution Plus,https://www.google.com/maps/place/TSP+%7C+Total+Solution+Plus/data=!4m7!3m6!1s0x3755c7e8b6a26d7b:0x7575a8f6c46c0ee5!8m2!3d23.7940597!4d90.3872595!16s%2Fg%2F11xl1f7zhr!19sChIJe22itujHVTcR5Q5sxPaodXU?authuser=0&hl=bn&rclk=1
ল্যাপটপ টেরিটোরি,https://www.google.com/maps/place/%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A6%9F%E0%A6%AA+%E0%A6%9F%E0%A7%87%E0%A6%B0%E0%A6%BF%E0%A6%9F%E0%A7%8B%E0%A6%B0%E0%A6%BF/data=!4m7!3m6!1s0x3755c1a619ea7619:0x2c1024a455ea0cc3!8m2!3d23.8064171!4d90.3695265!16s%2Fg%2F11t40hg8pz!19sChIJGXbqGabBVTcRwwzqVaQkECw?authuser=0&hl=bn&rclk=1
প্ল্যানেট ইট বিডি,https://www.google.com/maps/place/%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%9F+%E0%A6%87%E0%A6%9F+%E0%A6%AC%E0%A6%BF%E0%A6%A1%E0%A6%BF/data=!4m7!3m6!1s0x3755c133bae75af9:0x983c52a985ee35f0!8m2!3d23.8058214!4d90.3681436!16s%2Fg%2F11j4wjlcvt!19sChIJ-VrnujPBVTcR8DXuhalSPJg?authuser=0&hl=bn&rclk=1
KAASHIF TECHNOLOGY,https://www.google.com/maps/place/KAASHIF+TECHNOLOGY/data=!4m7!3m6!1s0x3755c1006f246b67:0x2ef4dc9b5559b87!8m2!3d23.8068295!4d90.3690975!16s%2Fg%2F11wpnqc_pg!19sChIJZ2skbwDBVTcRh5tVtclN7wI?authuser=0&hl=bn&rclk=1
Laptop Point BD,https://www.google.com/maps/place/Laptop+Point+BD/data=!4m7!3m6!1s0x3755c10003baf87f:0xfad8f74e5d9003e3!8m2!3d23.8064024!4d90.3690277!16s%2Fg%2F11x1tntw9p!19sChIJf_i6AwDBVTcR4wOQXU732Po?authuser=0&hl=bn&rclk=1
Laptop House BD,https://www.google.com/maps/place/Laptop+House+BD/data=!4m7!3m6!1s0x3755c1714b31d757:0xedf34c994414d5b5!8m2!3d23.8062999!4d90.3678818!16s%2Fg%2F11j305bn8z!19sChIJV9cxS3HBVTcRtdUURJlM8-0?authuser=0&hl=bn&rclk=1
Treematrik,https://www.google.com/maps/place/Treematrik/data=!4m7!3m6!1s0x3755c13af199c295:0xcbffaf51c4411c44!8m2!3d23.8247451!4d90.3638889!16s%2Fg%2F11fz9z6hqv!19sChIJlcKZ8TrBVTcRRBxBxFGv_8s?authuser=0&hl=bn&rclk=1
অ্যাপোলো গ্যাজেট,https://www.google.com/maps/place/%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A7%8B%E0%A6%B2%E0%A7%8B+%E0%A6%97%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9C%E0%A7%87%E0%A6%9F/data=!4m7!3m6!1s0x3755c164bcbb6569:0x102eecd8ec7ec22a!8m2!3d23.8057261!4d90.3677736!16s%2Fg%2F11rtvmnqrv!19sChIJaWW7vGTBVTcRKsJ-7NjsLhA?authuser=0&hl=bn&rclk=1
রিজ কম্পিউটার বিডি,https://www.google.com/maps/place/%E0%A6%B0%E0%A6%BF%E0%A6%9C+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%E0%A6%AC%E0%A6%BF%E0%A6%A1%E0%A6%BF/data=!4m7!3m6!1s0x3755c169bbec65f7:0xc1a541d91d179adc!8m2!3d23.8009955!4d90.3550421!16s%2Fg%2F11j7kyk4_m!19sChIJ92Xsu2nBVTcR3JoXHdlBpcE?authuser=0&hl=bn&rclk=1
